,BCTNC16,CT1MM,CT3MM
BCTNC16,1.0,0.4235999882221222,0.6523000001907349
CT1MM,0.4235999882221222,1.0,0.44909998774528503
CT3MM,0.6523000001907349,0.44909998774528503,1.0
