,BCTNC16,CT1MM,CT3MM
BCTNC16,1.0,0.5806999802589417,0.6478000283241272
CT1MM,0.5806999802589417,1.0,0.5475000143051147
CT3MM,0.6478000283241272,0.5475000143051147,1.0
