,BCTNC16,CT1MM,CT3MM
BCTNC16,1.0,0.5746999979019165,0.6567999720573425
CT1MM,0.5746999979019165,1.0,0.5519000291824341
CT3MM,0.6567999720573425,0.5519000291824341,1.0
